"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9584627	Plecturocebus hoffmannsi (Thomas"," 1908)	9584627	Plecturocebus hoffmannsi (Thomas"," 1908)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus hoffmannsi	9584627	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4827709	Galagoides thomasi (Elliot"," 1907)	4827709	Galagoides thomasi (Elliot"," 1907)	22	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Galagoides	2436515	Galagoides thomasi	4827709	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4827074	Necrolemur Filhol"," 1873	4827074	Necrolemur Filhol"," 1873	5	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Microchoeridae	3239628	Necrolemur	4827074			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6142188	Tetonius mckennai Bown & Rose"," 1987	6142188	Tetonius mckennai Bown & Rose"," 1987	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Omomyidae	4827112	Tetonius	4827154	Tetonius mckennai	6142188	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436376	Callicebus Thomas"," 1903	2436376	Callicebus Thomas"," 1903	19	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Callicebus	2436376			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974456	Avenius amatorum Russell et al."," 1992	4974456	Avenius amatorum Russell et al."," 1992	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Toliapinidae	4827215	Avenius	4827486	Avenius amatorum	4974456	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5786007	Mirza zaza Kappeler & Roos"," 2005	5786007	Mirza zaza Kappeler & Roos"," 2005	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Mirza	4266973	Mirza zaza	5786007	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9164095	Microsyops wilsoni (Szalay"," 1969)	9164095	Microsyops wilsoni (Szalay"," 1969)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Microsyopidae	4827478	Arctodontomys	4827484	Microsyops wilsoni	9164095	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9244350	Colobus verus Van Beneden"," 1838	2436597	Procolobus verus (van Beneden"," 1838)	8	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Procolobus	2436596	Procolobus verus	2436597	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5786457	Mico saterei (Silva Jr. & Noronha"," 1998)	5786457	Mico saterei (Silva Jr. & Noronha"," 1998)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Mico	7826251	Mico saterei	5786457	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11203319	Microchoerus creechbarrowensis Hooker"," 1986	11203319	Microchoerus creechbarrowensis Hooker"," 1986	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Microchoeridae	3239628	Microchoerus	3239629	Microchoerus creechbarrowensis	11203319	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436450	Cheirogaleus É.Geoffroy Saint-Hilaire"," 1812	2436450	Cheirogaleus É.Geoffroy Saint-Hilaire"," 1812	11	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Cheirogaleus	2436450			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
